愛好	爱好	àihào	love, like, be fond of, be keen on
白天	白天	bái tiān	daytime, during the day, day, CL:個|个[ge4]
班	班	bān	m.[event]
半	半	bàn	det.: half
半年	半年	bàn nián	half a year
半天	半天	bàn tiān	half of the day, a long time, quite a while, midair, CL:個|个[ge4]
幫	帮	bāng	help
幫忙	帮忙	bāngmáng	assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn
包	包	bāo	wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee
包子	包子	bāo zi	steamed stuffed bun, CL:個|个[ge4]
杯	杯	bēi	m.[container]
北邊	北边	běi biān	north, north side, northern part, to the north of
本子	本子	běn zi	book, notebook, edition, CL:本[ben3]
別的	别的	bié de	else, other
病	病	bìng	disease
病人	病人	bìngrén	shut-in, patient, subject, sufferer, case, valetudinarian, invalid
不大	不大	bùdà	not very/too, not often
不用	不用	búyòng	need not
不對	不对	bù duì	incorrect, wrong, amiss, abnormal, queer
差	差	chā	be short, lack
常常	常常	chángcháng	oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually
常	常	cháng	often, usually, frequently
車	车	chē	vehicle
車上	车上	chēshàng	Car
車票	车票	chēpiào	ticket (for train/bus)
唱	唱	chàng	cry, chant, chirm, tune, vocalize, call, sing
車站	车站	chēzhàn	station
吃飯	吃饭	chīfàn	feed, dine, make a living, keep alive, have a meal, eat
出來	出来	chūlái	come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge
出去	出去	chūqù	go_out, go/get out, get_out, go out, get out, go, exit
床	床	chuáng	bed
打	打	dǎ	generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix
打車	打车	dǎ chē	to take a taxi (in town), to hitch a lift
打開	打开	dǎkāi	unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop
打球	打球	dǎqiú	play a ball game using arms/hands
大學	大学	dàxué	university, college
大學生	大学生	dàxuéshēng	man, university/college student, college man, university student, colleger, university, undergrad, undergraduate, college boy, college student, collegian, university_student, undergraduate student, geeks
得到	得到	dé dào	to get, to obtain, to receive
等	等	děng	conj.: and so on, etc
地點	地点	dìdiǎn	location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus
地	地	dì	the earth, land, soil, fields, ground, place, position, background, distance
地方	地方	dìfāng	country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local
地上	地上	dì shang	on the ground, on the floor
地圖	地图	dìtú	map
第	第	dì	mansion, stadium, decker, det.: marker of ordinal numerals, abomasum, residence
電話	电话	diànhuà	blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone
電	电	diàn	electricity
電視機	电视机	diànshìjī	set, idiot_box, tv, goggle-box, idiot box, television receiver/set, teleset, television set, television receiver, TV set, goggle_box, tv set, goggle box, boob tube, receiver, telly, television
電影院	电影院	diànyǐngyuàn	cinema, movie (house)
東邊	东边	dōng bian	east, east side, eastern part, to the east of
動	动	dòng	concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move
動作	动作	dòngzuò	demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move
讀書	读书	dúshū	read, study, attend school
餓	饿	è	starve
飯	饭	fàn	food, meal, repast, cooked rice or other cereals, dinner
放假	放假	fàngjià	have a day off, have a vacation, have day off, have or be on vacation, have or be on holiday, have a holiday, vacation
飛	飞	fēi	hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit
放學	放学	fàngxué	have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)
分	分	fèn	m.[general]
幹	干	gàn	do, work, fight
乾淨	干净	gānjìng	clean, clear
歌	歌	gē	song
幹什麼	干什么	gànshénmo5	do something
跟	跟	gēn	with, to, from
工人	工人	gōngrén	navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand
關	关	guān	shut, close, turn off, lock up, close down
關上	关上	guān shàng	to close (a door), to turn off (light, electrical equipment etc)
國	国	guó	surname Guo, country, nation, state, national, CL:個|个[ge4]
國家	国家	guójiā	sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica
國外	国外	guówài	overseas
還是	还是	háishì	still, nevertheless
還有	还有	háiyǒu	conj.: furthermore, in addition
過	过	guò	[aspect]
漢字	汉字	hàn zì	Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự
好看	好看	hǎokàn	embarrassed, interesting, nice, good-looking, delightful
好聽	好听	hǎotīng	pleasant to hear
好玩兒	好玩儿	hǎowánr	interesting, delightful, amusing
後邊	后边	hoù bian	back, rear, behind
話	话	huà	words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word
後天	后天	hoù tiān	the day after tomorrow, post-natal, acquired (not innate), a posteriori
壞	坏	huài	spoiled
花	花	huā	spend, expend, cost
回到	回到	huídào	remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to
回家	回家	huíjiā	return home
回去	回去	huíqù	go_home, go_back, retrocede, go back, be back, go, return
回來	回来	huílái	come back, get_back, recur, revisit, come, return, be back, come_back
火車	火车	huǒchē	choo-choo, railroad train, car train, marshalling_yard, puff-puff, train
機票	机票	jī piào	air ticket, passenger ticket, CL:張|张[zhang1]
記得	记得	jìde	come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind
記住	记住	jì zhu	to remember, to bear in mind, to learn by heart
記	记	jì	write down, record
家裡	家里	jiā lǐ	home
見面	见面	jiànmiàn	meet, see
教	教	jiāo	teach
家人	家人	jiārén	relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house
間	间	jiān	locality, room
見	见	jiàn	see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet
教學樓	教学楼	jiào xué loú	teaching block, school building
今年	今年	jīn nián	this year
進去	进去	jìnqù	enter, entry, go_in, get in, go in
開車	开车	kāi chē	to drive a car
開會	开会	kāihuì	hold/attend meeting
開玩笑	开玩笑	kāiwánxiào	kid, spoof, jive, gag, make fun of, josh, daff, rot, quip, chaff, rib, banter, jolly, fun, sport, put_on, clown, fool, droll, jape, joke, skylark, jest, jocose, crack a joke
看病	看病	kàn bìng	to visit a doctor, to see a patient
看到	看到	kàndào	view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of
考	考	kǎo	study, inspect, give test, inspection, give, give/take test, test, investigate, verify, take test, give or take an examination, quiz, check
渴	渴	kě	thirsty
課本	课本	kèběn	text edition, textbook, text, school text, schoolbook
課文	课文	kè wén	text, CL:篇[pian1]
口	口	kǒu	m.[general]
來到	来到	láidào	arrive, come
老人	老人	lǎorén	oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents
裡邊	里边	lǐ bian	inside
樓	楼	lóu	storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building
樓上	楼上	loú shàng	upstairs
樓下	楼下	loú xià	downstairs
路口	路口	lù koǔ	crossing, intersection (of roads)
馬路	马路	mǎlù	drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic
沒事兒	没事儿	méishìr	to have spare time, free from work, it's not important, it's nothing, never mind
門口	门口	ménkǒu	porch, portal, doorway, gateway, threshold, room access, door, entering, entrance
門票	门票	ménpiào	entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance
麵包	面包	miànbāo	bun, staff of life, cookie, breadstuff, bread
麵條兒	面条儿	miàntiáor	noodles, erhua variant of 麵條|面条[mian4 tiao2]
明白	明白	míngbái	clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization
明年	明年	míng nián	next year
哪兒	哪儿	nǎér	where
哪些	哪些	nǎxiē	det.: which
拿	拿	ná	take, hold, seize, capture
那邊	那边	nàbiān	beyond, that side, there
那裡	那里	nàlǐ	that place
那些	那些	nǎxiē	det.: those
那兒	那儿	nǎēr	that place
奶奶	奶奶	nǎinǎi	nanna, address for married woman, granny, gran, grandmother, grandma, respectful form of address for an old woman, paternal grandmother
男孩兒	男孩儿	nánháir	boy, erhua variant of 男孩[nan2 hai2]
男朋友	男朋友	nánpéngyǒu	boyfriend
男	男	nán	baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son
男生	男生	nánshēng	brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student
南	南	nán	Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern
南邊	南边	nán bian	south, south side, southern part, to the south of
難	难	nán	make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame
你們	你们	nǐmen	you, you (plural), you-all
女	女	nǔ	girl, female, woman, neodymium, hen, daughter, beaver, creature
女孩兒	女孩儿	nǚháir	girl, erhua variant of 女孩[nu:3 hai2]
女生	女生	nǔshēng	schoolgirl, girl student, female student, female, girl, woman student, co-ed
女朋友	女朋友	nǔpéngyǒu	jane, girl, girl friend, lady friend, girlfriend, amie
跑	跑	pǎo	travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg
起來	起来	qǐlái	[aspect]
起	起	qǐ	[aspect]
汽車	汽车	qìchē	automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus
前	前	qián	front
前邊	前边	qián bian	front, the front side, in front of
錢包	钱包	qián bāo	purse, wallet
前天	前天	qián tiān	the day before yesterday
請假	请假	qǐngjià	vacate, ask for leave
請問	请问	qǐngwèn	Excuse me, may I ask...?
請進	请进	qǐng jìn	'please come in'
請坐	请坐	qǐng zuò	Sitting
球	球	qiú	ball
認真	认真	rènzhēn	serious, earnest, take for real
日期	日期	rìqí	calendar, when, date
肉	肉	ròu	pulp, chilli, cabobs, meat, lobscouse, paella, meaty, fleshy, flesh, marmite
山	山	shān	Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount
商場	商场	shāngchǎng	department store, bazar, line of business, field of operation, grocery store, emporium, bazaar, grocery, mall, commercial circle, field, market
上車	上车	shàng chē	to get on or into (a bus, train, car etc)
上課	上课	shàngkè	attend class, go to class;give lesson/lecture
上網	上网	shàng wǎng	to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net
上邊	上边	shàng bian	the top, above, overhead, upwards, the top margin, above-mentioned, those higher up
上學	上学	shàngxué	attend school, be at school
上次	上次	shàng cì	last time
身上	身上	shēn shang	on the body, at hand, among
生氣	生气	shēngqì	get angry, be angry
試	试	shì	offer, attempt, essay, flesh, try, seek, assay, test
是不是	是不是	shì bù shì	is or isn't, yes or no, whether or not
手	手	shǒu	hand
書包	书包	shūbāo	bag, book bag, satchel, schoolbag
書店	书店	shūdiàn	bookstore
樹	树	shù	wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito
睡	睡	shuì	sleep
聽到	听到	tīngdào	hear
聽見	听见	tīngjiàn	hear
聽寫	听写	tīng xiě	dictate, dictation, CL:次[ci4]
圖書館	图书馆	túshūguǎn	library
外邊	外边	wài bian	outside, outer surface, abroad, place other than one's home
外國	外国	wàiguó	foreign, foreign country, outland, outremer
玩兒	玩儿	wánr	to play, to have fun, to hang out
晚	晚	wǎn	far on in time, late
晚飯	晚饭	wǎn fàn	evening meal, dinner, supper, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
網上	网上	wǎng shàng	online
網友	网友	wǎng yoǔ	online friend, Internet user
外語	外语	wàiyǔ	foreign language
忘記	忘记	wàngjì	misremember, block, blank out, neglect, overlook, draw a blank, leave_out, disremember, fail, forget
忘	忘	wàng	forget, overlook, neglect
午飯	午饭	wǔ fàn	lunch, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
西邊	西边	xī biān	west, west side, western part, to the west of
洗手間	洗手间	xǐ shoǔ jiān	toilet, lavatory, washroom
下班	下班	xiàbān	get_off
下邊	下边	xià bian	under, the underside, below
下車	下车	xiàchē	get off/out of vehicle
下次	下次	xià cì	next time
下課	下课	xiàkè	finish class, get out of class
先	先	xiān	earlier, in advance, before
小孩兒	小孩儿	xiǎoháir	child, erhua variant of 小孩[xiao3 hai2]
小朋友	小朋友	xiǎopéngyǒu	child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child
小學	小学	xiǎoxué	primary school, elementary school
小學生	小学生	xiǎoxuéshēng	(primary) pupil, schoolboy, schoolgirl
新年	新年	xīn nián	New Year, CL:個|个[ge4]
星期日	星期日	Xīng qī rì	Sunday, CL:個|个[ge4]
星期天	星期天	Xīng qī tiān	Sunday, CL:個|个[ge4]
行	行	xíng	go, travel, prevail, circulate, be current
學	学	xué	study, learn, imitate, mimic
學院	学院	xuéyuàn	seminary, college, school, hall, institute, academy, faculty
爺爺	爷爷	yéyé	grandad, Grandpa, granddad, grandpa, (paternal) grandfather, gramps, granddaddy, grandfather
頁	页	yè	page, leaf, m.[general], ,sheet of paper, sheet, piece, piece of paper, folio
一會兒	一会儿	yīhuìr	a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]
一塊兒	一块儿	yīkuàiēr	together
一下兒	一下儿	yīxià r	(used after a verb) give it a go, to do (sth for a bit to give it a try), one time, once, in a while, all of a sudden, all at once, erhua variant of 一下[yi1 xia4]
一半	一半	yíbàn	det.: one half, in part, half
一邊	一边	yībiān	at the same time, simultaneously;on the one/other hand
一點兒	一点儿	yīdiǎnēr	det.: a little bit
一些	一些	yīxiē	det.: some, a few, a little
一樣	一样	yīyàng	same, equal, similar
有的	有的	yǒude	det : some
有名	有名	yǒumíng	well-known, famous
用	用	yòng	with
有時候	有时候	yǒushíhòu	from time to time, on_occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while
有些	有些	yǒuxiē	kind_of, rather, somewhat
有用	有用	yǒuyòng	belong, profit, count, useful, avail, powerful
右	右	yòu	right side as side of precedence, right side, west, winger, right, the right side, the Right, the right
在傢	在家	zàijiā	At home
早	早	zǎo	early, long ago, in advance, beforehand, prematurely
早飯	早饭	zǎo fàn	breakfast, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
站	站	zhàn	to stand
找到	找到	zhǎodào	light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon
這邊	这边	zhèbiān	this side, here
這裡	这里	zhèlǐ	this place, there, here
這兒	这儿	zhèēr	now, here
這些	这些	zhèxiē	det.: these
真的	真的	zhēnde	really, truly, indeed
正	正	zhèng	precisely, punctually
知識	知识	zhīshì	lear, know-how, understanding, ken, instruction, science, sophistication, consciousness, light, awareness, cognizance, knowledge, lore, mastery, know, cognition, acquaintanceship, mind, intellect, knowingness, equipment
中間	中间	zhōngjiān	center, middle
中文	中文	zhōngwén	Chinese, Ch. (written) language, Ch. language, Sinitic
中學	中学	zhōngxué	middle_school, grammar_school, secondary school, Ch. learning, middle school, high_school, grammar school
中學生	中学生	zhōng xué shēng	middle-school student, high school student
重	重	zhòng	heavy, weighty, important, considerable in amount/value
重要	重要	zhòngyào	important, significant, major
子	子	zǐ	son, child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)
走路	走路	zǒulù	go away, stroam, go on foot, walk
最好	最好	zuìhǎo	had better, it would be best
最後	最后	zuì hoù	final, last, finally, ultimate
左	左	zuǒ	left side, east, the Left
坐下	坐下	zuòxià	subside, sit, sit down, sink, sit_down
